|id|date|time|tweet|cleaned_text|Subjectivity|Polarity|Analysis_Polarity|Analysis_Subjectivity|label
14371|1.55272E+18|28-07-2022|14.34.55|More than 100 families of Russian soldiers have written to Putin. They want their sons, husbands and brothers missing from the war zone in Ukraine to be searched and reported. 106 signatories have shown courage.  #Russia|100 family russian soldier written putin want son husband brother missing war zone ukraine searched reported 106 signatory shown courage russia|0.025|-0.1|Negative|Opinion|spam
14386|1.55272E+18|28-07-2022|14.29.15|Just before his arrest this year in Moscow, @vkaramurza Vladimir Kara-Murza gave this speech in Arizona about Putin, western appeasement, the criminal war in Ukraine, and repression in Russia. It has had fewer than 500 views on YouTube.  https://t.co/EY6jYw47gy via @YouTube|arrest year moscow vladimir karamurza gave speech arizona putin western appeasement criminal war ukraine repression russia fewer 500 view youtube via|0.183333333|-0.15|Negative|Opinion|spam
14424|1.55272E+18|28-07-2022|14.18.08|Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US    https://t.co/M8D1tEfexf|russiaukraine war russian dead wounded exceed 75000 u|0.2|-0.1|Negative|Opinion|spam
14485|1.55272E+18|28-07-2022|14.02.43|Ukraine war: Russia hits Kyiv area as Ukraine seeks to retake south  Via BBC - World : Thu, 28 Jul 2022, 17:49:01 GMT   https://t.co/VHtiQ228wa|ukraine war russia hit kyiv area ukraine seek retake south via bbc world thu 28 jul 2022 174901 gmt|0|0|Neutral|Fact|spam
14505|1.55272E+18|28-07-2022|13.58.56|@SecBlinken Hardly Russia's war as you've been involved in operations in Ukraine since overthrowing the gov't in 2014 and then refused to negotiate their legitimate security concerns.|hardly russia war youve involved operation ukraine since overthrowing govt 2014 refused negotiate legitimate security concern|0.541666667|-0.291666667|Negative|Opinion|spam
14518|1.55271E+18|28-07-2022|13.55.43|Russia Has Suffered More than 75,000 Casualties in Ukraine War So Far, U.S. Reportedly Estimates - People  https://t.co/o6EMzfEfZs|russia suffered 75000 casualty ukraine war far u reportedly estimate people|1|0.1|Positive|Opinion|spam
14524|1.55271E+18|28-07-2022|13.55.20|Russia-Ukraine war: 75,000 Russians killed or injured so far, says US – live  Russia rejects US figures as ‘fake’, with the Kremlin’s official death toll for its forces still standing at just 1,351.  https://t.co/NYTqIzRTcV|russiaukraine war 75000 russian killed injured far say u live russia reject u figure fake kremlin official death toll force still standing 1351|0.5|-0.092727273|Negative|Opinion|spam
14528|1.55271E+18|28-07-2022|13.53.39|Russia has now lost 75,000 soldiers in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/f5VNGyLayy|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14535|1.55271E+18|28-07-2022|13.51.45|Brazil Transactions Insights – Summer 2022ALT The first half of 2022 was extremely challenging, with the Brazilian economy seeking out a resumption of growth. The consequences of the pandemic were made worse by Russia’s war on Ukraine. Adding...  https://t.co/TvpDKMCRQ6|brazil transaction insight summer 2022alt first half 2022 extremely challenging brazilian economy seeking resumption growth consequence pandemic made worse russia war ukraine adding|0.525|0.045833333|Positive|Opinion|spam
14578|1.55271E+18|28-07-2022|13.43.14|Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US  https://t.co/TWkSNUHiTN|russiaukraine war russian dead wounded exceed 75000 u|0.2|-0.1|Negative|Opinion|spam
14580|1.55271E+18|28-07-2022|13.42.49|#DailyMap #ERCC #EUCivPro ECHO Daily Map of 28 July 2022  Russia’s War on Ukraine ||||||
14590|1.55271E+18|28-07-2022|13.40.57|Russia Has Suffered More than 75,000 Casualties in Ukraine War So Far, U.S. Reportedly Estimates  https://t.co/KitE1MQmxp via @Yahoo|russia suffered 75000 casualty ukraine war far u reportedly estimate via|1|0.1|Positive|Opinion|spam
14591|1.55271E+18|28-07-2022|13.40.51|Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US  https://t.co/41CqvTgaou|russiaukraine war russian dead wounded exceed 75000 u|0.2|-0.1|Negative|Opinion|spam
14597|1.55271E+18|28-07-2022|13.38.26|Russia has now lost 75,000 soldiers in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/Sd1b8HFIek|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14598|1.55271E+18|28-07-2022|13.38.24|Russia has now lost 75,000 soldiers in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/voWxYkUSqc|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14599|1.55271E+18|28-07-2022|13.38.05|@El0nics @telebusiness Our national debt is 130% of our GDP. I saw a projection that by 2026 the national debt will be 200% our GDP.  Russia has a debt to GDP of something like 20% or maybe 40%. Who's winning this war on Ukraine right now?|national debt 130 gdp saw projection 2026 national debt 200 gdp russia debt gdp something like 20 maybe 40 who winning war ukraine right|0.642857143|0.392857143|Positive|Opinion|spam
14613|1.55271E+18|28-07-2022|13.34.13|Dattalion is the largest independent open-source database, illuminating the horrors of russia’s 154-day-long war on Ukraine. Being constantly updated by over a hundred volunteers, our library contains 3600+ videos and 10,000+ photos, which have been downloaded 32,000+ times.  https://t.co/PPh4BytOfs|dattalion largest independent opensource database illuminating horror russia 154daylong war ukraine constantly updated hundred volunteer library contains 3600 video 10000 photo downloaded 32000 time|0.229166667|0|Neutral|Opinion|spam
14618|1.55271E+18|28-07-2022|13.32.51|Russia has now lost 75,000 soldiers in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims   https://t.co/02YPYlXSaT|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14626|1.55271E+18|28-07-2022|13.30.46|@cliffypagie @Bi_person1 @HaniehJBarnes @cfmann54 @JalisaDanielle_ To add to that, Ukraine has been oppressed by Russia for centuries, with multiple armed conflicts, literally mass killing our citizens for their nationality, ethnicity and language. This w|person1 add ukraine oppressed russia century multiple armed conflict literally mass killing citizen nationality ethnicity language war started 2014 west noticed became threat country|0|0|Neutral|Fact|spam
14628|1.55271E+18|28-07-2022|13.30.17|@TyagiBeing @code_with_meet And you said Modiji deserve no respect then listen, Who had the strength to hoist flag in Pavagadh temple after 500 years,Who had the strength to secure Kashmir so much, who had the strength to stop the war between Russia and U|withmeet said modiji deserve respect listen strength hoist flag pavagadh temple 500 yearswho strength secure kashmir much strength stop war russia ukraine 8 hour student rescue|0.4|0.3|Positive|Opinion|spam
14668|1.55271E+18|28-07-2022|13.20.22|@AnAfricanVoice4 @Breeze_70s You convinced me with Hungary that I need to believe 😂😂. We’ll see. I trust much more Yale reports than any russian propaganda. russia will disappear, with its economy shattered and defeated on the battlefield by Ukrai|70 convinced hungary need believe see trust much yale report russian propaganda russia disappear economy shattered defeated battlefield ukraine russia corruption propaganda war crime|0.1|0|Neutral|Opinion|spam
14687|1.5527E+18|28-07-2022|13.15.19|13/ Russia’s Ministry of Economy said in mid-May that it expects unemployment to hit nearly 7% this year, and that a return to 2021 levels is unlikely until 2025 at the earliest.  Since Russia’s war in Ukraine began, thousands of international companies..  https://t.co/pLpW7xyxso|13 russia ministry economy said midmay expects unemployment hit nearly 7 year return 2021 level unlikely 2025 earliest since russia war ukraine began thousand international panies|0.3|-0.133333333|Negative|Opinion|spam
14717|1.5527E+18|28-07-2022|13.08.17|Despite forced eviction in 2014, the O-Platz movement lives on and many activists continue with their struggles and resistance to this day.  This year, after Russia's war of aggression in Ukraine, third-country nationals and...  (4/6)  #napuli2022  https://t.co/bdn9SOPxhi|despite forced eviction 2014 oplatz movement life many activist continue struggle resistance day year russia war aggression ukraine thirdcountry national 46 napuli2022|0.35|0.1|Positive|Opinion|spam
14731|1.5527E+18|28-07-2022|13.05.24|Russia Has Suffered More than 75,000 Casualties in Ukraine War So Far, U.S. Reportedly Estimates  https://t.co/opnWsbyHde|russia suffered 75000 casualty ukraine war far u reportedly estimate|1|0.1|Positive|Opinion|spam
14742|1.5527E+18|28-07-2022|13.02.58|Russia Has Suffered More than 75,000 Casualties in Ukraine War So Far, U.S. Reportedly Estimates  https://t.co/mTJyIhYAT7 via @Yahoo|russia suffered 75000 casualty ukraine war far u reportedly estimate via|1|0.1|Positive|Opinion|spam
14763|1.5527E+18|28-07-2022|12.57.36|As you contemplate Taiwan Russia military budget(b4 Ukraine) $80b but Ukraine costing $300m a DAY, China about $240 b outpace Russia but both combined pale to US $825bthis industrial $280 is goodies for R&amp;D plus war footing incentives|contemplate taiwan russia military budgetb4 ukraine 80b ukraine costing 300m day china 240 b outpace russia bined pale u 825bthis industrial 280 goody rampd plus war footing incentive|0.14|-0.155|Negative|Opinion|spam
14769|1.5527E+18|28-07-2022|12.56.28|"KalkineMediaComAu has published "" 6 months of Russia-Ukraine War: Key events to know till date "" on 29/07/2022 #Russia    https://t.co/0n2XLGTDWx"|kalkinemediacomau published 6 month russiaukraine war key event know till date 29072022 russia|1|0|Neutral|Opinion|spam
14771|1.5527E+18|28-07-2022|12.56.10|Russia Has Suffered More than 75,000 Casualties in Ukraine War So Far, U.S. Reportedly Estimates   https://t.co/MahA9vGzPR|russia suffered 75000 casualty ukraine war far u reportedly estimate|1|0.1|Positive|Opinion|spam
14774|1.5527E+18|28-07-2022|12.55.35|The Russo Ukranian war began in 2014. There was a Russian military build-up on the Russia–Ukraine border from late 2021, and then the invasion of Ukraine began on 2/24/22. Of course, we got involved when president Zelensky became a celebrity by refusing to leave.|russo ukranian war began 2014 russian military buildup russia ukraine border late 2021 invasion ukraine began 22422 course got involved president zelensky became celebrity refusing leave|0.233333333|-0.133333333|Negative|Opinion|spam
14781|1.5527E+18|28-07-2022|12.55.04|@Bar_E_72 @TomTBAllen @sophielouisecc In which way it is not “clear cut”? Russia started the war of aggression in 2014. It is not going to finish it until either it loses or Ukraine becomes part of Russia.|e72 way clear cut russia started war aggression 2014 going finish either loses ukraine bee part russia|0.241666667|-0.1|Negative|Opinion|spam
14797|1.5527E+18|28-07-2022|12.51.33|Russia has now lost 75,000 SOLDIERS in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/lNuRXmjhpy|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14798|1.5527E+18|28-07-2022|12.51.28|Russia has now lost 75,000 SOLDIERS in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/5Ap7EkOETZ|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14828|1.5527E+18|28-07-2022|12.43.13| https://t.co/C29ApjRfHs When will the Russia’s  wake up and realize they mean nothing to this rabid animal Putin? More than 75,000 Russian soldiers have been killed or injured since the Kremlin launched its brutal war on Ukraine on Feb. 24, according to U.S. intelligence.|russia wake realize mean nothing rabid animal putin 75000 russian soldier killed injured since kremlin launched brutal war ukraine feb 24 according u intelligence|0.421875|-0.346875|Negative|Opinion|spam
14831|1.5527E+18|28-07-2022|12.42.30|Russia has now lost 75,000 SOLDIERS in Ukraine war disaster – HALF of all troops – in humiliation for Putin, US claims  https://t.co/RLBXKPK4cC|russia lost 75000 soldier ukraine war disaster half troop humiliation putin u claim|0.166666667|-0.166666667|Negative|Opinion|spam
14848|1.55269E+18|28-07-2022|12.37.29|@StavrosTrump @NewJerseyOAG @ConsumerNJ Prices would have gone up with either party in office. The russian war with Ukraine is the cause and cutting off trading with Russia as sanctions against them.  Prices went up in every country. Gas is expensive ever|price would gone either party office russian war ukraine cause cutting trading russia sanction price went every country gas expensive everywhere personally havent voted since 2000|0.475|-0.275|Negative|Opinion|spam
14852|1.55269E+18|28-07-2022|12.36.11|@NatashaBertrand @RepSlotkin @MZanona How about the Ukraine only civilian am I right? Two day ago this number was 15,000 thousand, according to Ukraine 40,000. Today 75,000 may be two week  later Russia has no more soldier and Ukraine has win this war. Oh|ukraine civilian right two day ago number 15000 thousand according ukraine 40000 today 75000 may two week later russia soldier ukraine win war oh please stop making fool world|0.311904762|0.361904762|Positive|Opinion|spam
14877|1.55269E+18|28-07-2022|12.31.34|"🤷‍♂️  What a time to be alive... Ukraine, which is currently at war with Russia, is exporting electricity to Europe  ""Ukraine's State Grid Operator Says European Grid Operator Allowed Increase In Ukrainian Electricity Exports Into Europe To 250Mw From 100Mw From July 30"""| time alive ukraine currently war russia exporting electricity europe ukraine state grid operator say european grid operator allowed increase ukrainian electricity export europe 250mw 100mw july 30|0.266666667|0.033333333|Positive|Opinion|spam
14895|1.55269E+18|28-07-2022|12.28.54|Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US #SmartNews   https://t.co/o5s781KC02|russiaukraine war russian dead wounded exceed 75000 u smartnews|0.2|-0.1|Negative|Opinion|spam
14907|1.55269E+18|28-07-2022|12.27.06|"""As a result of the business retreat, Russia has lost companies representing ~40% of its GDP, reversing nearly all of three decades’ worth of foreign investment"" Yale's assessment of Russian economy. Ukraine will win the war.  https://t.co/un7dGh8YRM"|result business retreat russia lost panies representing 40 gdp reversing nearly three decade worth foreign investment yale assessment russian economy ukraine win war|0.205|0.215|Positive|Opinion|spam
14909|1.55269E+18|28-07-2022|12.26.48|@FS_Yusuf_ Hi sir I will suggest we do a table like this but it will be 2015 vs 2019 so that the people using Covid 19 and Russia-Ukraine war as an excuse will no longer be able to do so.|yusuf hi sir suggest table like 2015 v 2019 people using covid 19 russiaukraine war excuse longer able|0.3375|0.225|Positive|Opinion|spam
14916|1.55269E+18|28-07-2022|12.24.37|With the 0.9% decline in Q2 2022 real GDP the #US has entered technical recession. Expect #EU to enter recession in Q3 if not already in recession. Sombre outlook with Inflation, China lockdown, Russia-Ukraine war, near global monetary tightening &amp; food supply disruptions  https://t.co/YxI7LT0E0k|09 decline q2 2022 real gdp u entered technical recession expect eu enter recession q3 already recession sombre outlook inflation china lockdown russiaukraine war near global monetary tightening amp food supply disruption|0.2|0.075|Positive|Opinion|spam
14919|1.55269E+18|28-07-2022|12.23.27|Mykolayiv came under rocket fire again 🚀  Our city of Mykolaiv is bombed every day. But we hold on and will stand until our last breath 💪  Hold on, my native Mykolaiv.  Please repost.  Russia is a terrorist!  Mykolaiv 28.07.2022  #war #mykolaiv #russiaisateroriststate #ukraine  https://t.co/rbJ5Jo4Ndm|mykolayiv came rocket fire city mykolaiv bombed every day hold stand last breath hold native mykolaiv please repost russia terrorist mykolaiv 28072022 war mykolaiv russiaisateroriststate ukraine|0.066666667|0|Neutral|Opinion|spam
14942|1.55269E+18|28-07-2022|12.17.12|@fkntfkusa @exeit @Freespe83912197 @ChristopherJM Children were killed on both sides in the war started by Russia in 2014.  But since February, Russians killed 3 times more children than were killed in all 8 years before that.  Russia=Fascism.  Neo-nazis |child killed side war started russia 2014 since february russian killed 3 time child killed 8 year russiafascism neonazis russia mitting genocide ukraine|0|-0.15|Negative|Fact|spam
14980|1.55269E+18|28-07-2022|12.11.11|Andy Vermaut shares:Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US: submitted by  /u/Arrow2019x    [link] [comments]  https://t.co/a04L9MZYSu Thank you!  https://t.co/udHWrtNwRE|andy vermaut sharesrussiaukraine war russian dead wounded exceed 75000 u submitted uarrow2019x link ments thank|0.2|-0.1|Negative|Opinion|spam
15004|1.55269E+18|28-07-2022|12.03.15|@MarshaBlackburn Entire world says DOD Austin provoked war in Ukraine on his trip in October 2021 Secretary of Defense Lloyd J. Austin III's Visit to Ukraine. Oct. 19, 2021 went to every border country to authorize more troops for future invasion of Russi|entire world say dod austin provoked war ukraine trip october 2021 secretary defense lloyd j austin iii visit ukraine oct 19 2021 went every border country authorize troop future invasion russia using bioweapon|0.375|0|Neutral|Opinion|spam
15097|1.55268E+18|28-07-2022|11.36.01|July 28, 2022_ Manchin, Schumer, Biden-Xi call, Ukraine, Russia war, Brittney Griner, George Floyd: July 28, 2022: Democrats Manchin, Schumer, Biden-Xi call, Ukraine-Russia war, Brittney Griner, George Floyd  1. U.S. Democratic Senator Joe Manchin said he has reached a deal with  https://t.co/UIjOAB7krF|july 28 2022 manchin schumer bidenxi call ukraine russia war brittney griner george floyd july 28 2022 democrat manchin schumer bidenxi call ukrainerussia war brittney griner george floyd 1 u democratic senator joe manchin said reached deal|0|0|Neutral|Fact|spam
15108|1.55268E+18|28-07-2022|11.34.25|"@spriteer_774400 Kolomoisky let truth bombs slip in Nov. 2019, US sanctioned him following year. ""US is using Ukraine to weaken its geopolitical rival-Russia."" American authorities only want Ukraine 2 wage a ""war against Russia until last Ukrainian.""  htt"|774400 kolomoisky let truth bomb slip nov 2019 u sanctioned following year u using ukraine weaken geopolitical rivalrussia american authority want ukraine 2 wage war russia last ukrainian|0.055555556|0|Neutral|Opinion|spam
15109|1.55268E+18|28-07-2022|11.34.21|@LennyLenny208 So do I over our MSM. Over a million Ukrainians have fled to Russia since 2014. Ukraine is  a proxy war between Nato (USA/Europe) and Russia.  MSM doesn't report that most of the world doesn't support the west's actions against Russia.|msm million ukrainian fled russia since 2014 ukraine proxy war nato usaeurope russia msm doesnt report world doesnt support west action russia|0.1|0.1|Positive|Opinion|spam
15118|1.55268E+18|28-07-2022|11.32.41|@MartinSLewis @CornwallInsight No excuse for this when oil is the same price a barrel as 2009. The ‘War’ in Ukraine narrative doesn’t cut it. Russia can supply believing not buying energy from Russia is a punishment for Putin is delusional this is a|excuse oil price barrel 2009 war ukraine narrative cut russia supply believing buying energy russia punishment putin delusional orchestrated enough energy source |0.275|-0.025|Negative|Opinion|spam
15119|1.55268E+18|28-07-2022|11.32.20|Benjamin Fullford Report: Secret UK, Russia peace deal means Ukraine war being wound down – July 25, 2022  https://t.co/pF3dlflKwm via @Prepare For Change|benjamin fullford report secret uk russia peace deal mean ukraine war wound july 25 2022 via change|0.69375|-0.35625|Negative|Opinion|spam
15176|1.55267E+18|28-07-2022|11.16.08|@JamieLo27531222 @ThePundick @MatthewJohn666 Yes, the civil war was because Russia first invaded Ukraine in 2014 and it’s not secret the US isn’t on the best terms with Russia so we defended Ukraine. I’m for it because Russia is not a democracy (des|yes civil war russia first invaded ukraine 2014 secret u best term russia defended ukraine russia democracy despite claim invading smaller harder defend|0.366666667|0.15|Positive|Opinion|spam
15188|1.55267E+18|28-07-2022|11.12.47|@CryptoOMC @BrunoTheGreat32 @MarshaBlackburn @GOP We don't need to say PRICE GOUGING. Shell and TotalEnergies are both reporting record-setting profits, $11.5 billion and $9.8 billion, driven up by the Russia-Ukraine war's impact on #oil and gas prices an|dont need say price gouging shell totalenergies reporting recordsetting profit 115 billion 98 billion driven russiaukraine war impact oil gas price whopping margin refining business 712 jul 28 2022|0|0|Neutral|Fact|spam
15217|1.55267E+18|28-07-2022|11.04.43|RF captured in Avdeevka district AT105 Saxon. Follow my tg  https://t.co/Ex9r09meRO and  https://t.co/9v16flB0tB @Danspiun @oryxspioenkop @200_zoka @RALee85 @jpg2t785 @TheDeadDistrict @OSINTua @RWApodcast #ukraine #war #russia  https://t.co/G5mVk1mFdV|rf captured avdeevka district at105 saxon follow tg zoka ukraine war russia|0|0|Neutral|Fact|spam
15252|1.55267E+18|28-07-2022|10.58.04|“Meanwhile, the Ukraine war is also creating one of the biggest refugee crises of the modern era. Until May 2022, more than 100 million people were displaced forcibly from their homes after Russia decided to launch its military invasion”.   ht: @Bharati09| meanwhile ukraine war also creating one biggest refugee crisis modern era may 2022 100 million people displaced forcibly home russia decided launch military invasion ht|0.466666667|0.2|Positive|Opinion|spam
15268|1.55267E+18|28-07-2022|10.54.07|@ChristChurchTe1 @9i9a_chad @LivFaustDieJung @willaviles2017 @ThomasC40902822 @middleeasternxx Russia invaded in 2014. The front in the Donbass has barely moved.  Ukraine had been trying to take back it's occupied territories for 8 years.  That's war.  No|chad russia invaded 2014 front donbas barely moved ukraine trying take back occupied territory 8 year thats war carpet bombing ethnic cleansing landgrabs ala russia|0.05|0.025|Positive|Opinion|spam
15286|1.55267E+18|28-07-2022|10.50.49|"from OSCE 28 July 2022 (distressing content): ""Russia must end this war now...Leave Ukraine.  Get out.  Go back to Russia...Stop lying and reneging on your commitments.  The world — and your children and grandchildren too — will be better off for it.""  https://t.co/gdvQGSeaYh"|osce 28 july 2022 distressing content russia must end war nowleave ukraine get go back russiastop lying reneging mitments world child grandchild better|0.25|0.25|Positive|Opinion|spam
15300|1.55267E+18|28-07-2022|10.46.37|@thesiriusreport @VZcompany You are funny. No, Russia wont do that, they dont manage to get real Followship for their war at home. Ukraine may defend their territory. Crimea was stolen 2014.|funny russia wont dont manage get real followship war home ukraine may defend territory crimea stolen 2014|0.65|0.225|Positive|Opinion|spam
15301|1.55267E+18|28-07-2022|10.46.29|@LionelMedia And it's the context of RECENT History!!   Same people prooagating us on Ukraine, was also sensoribg us with on   COVID cases  Vaccines, Hydroxyclorquine, etc..   J6   Russia Collussion   2020 election ballots|context recent history people prooagating u ukraine also sensoribg u covid case vaccine hydroxyclorquine etc j6 russia collussion 2020 election ballot|0.25|0|Neutral|Opinion|spam
15307|1.55267E+18|28-07-2022|10.45.24|Day 155 📌 ‘Good morning’ in Ukraine started today around 4 am when the air raid alarms went off. At least 20 missiles were launched this morning from three different directions – Belarus, Russia, and the Black Sea. More by the link ⬇️  https://t.co/S06QDOkbhb|day 155 good morning ukraine started today around 4 air raid alarm went least 20 missile launched morning three different direction belarus russia black sea link |0.508333333|0.058333333|Positive|Opinion|spam
15316|1.55267E+18|28-07-2022|10.43.29|War in Ukraine LIVE: Journalist Marina Ovsiannikova fined 800 euros for “discrediting” the Russian armed forces Russia will no longer accept any lies about the professional quality of its army which resists Ukraine and 30 Mercenary Nations a just punishment LCF Real Info  https://t.co/m500tNZqkd|war ukraine live journalist marina ovsiannikova fined 800 euro discrediting russian armed force russia longer accept lie professional quality army resists ukraine 30 mercenary nation punishment lcf real info|0.225|0.109090909|Positive|Opinion|spam
15363|1.55266E+18|28-07-2022|10.33.12|@StormTorx @FedmahnKassad22 @Militarylandnet Russia clearly did not plan for a 2 year war. They invaded Ukraine, Europe’s second largest country, with some 150-200K of troops. Their planning and logistics where a disaster, as demonstrated by their inabi|russia clearly plan 2 year war invaded ukraine europe second largest country 150200k troop planning logistics disaster demonstrated inability take kyiv kharkiv|0.191666667|0.05|Positive|Opinion|spam
15376|1.55266E+18|28-07-2022|10.30.20|@EAmangieka @Bull0fjohn Aren't you the one handing out your ignorance on a platter?  Was our economy any better pre-2020?  What was the state of the our economy between 2015-2019?  You can't come here and sound like Buhari came into power during Covid or |arent one handing ignorance platter economy better pre2020 state economy 20152019 cant e sound like buhari came power covid start russiaukraine war|0.45|0.45|Positive|Opinion|spam
15413|1.55266E+18|28-07-2022|10.23.22|@mfa_russia @Ulkoministerio @EmbFinMoscow @GenConFinSPb @Finland_OSCE @EUinRussia @RussianEmbFinla @RusMission_EU @EU_Commission @EUCouncil @ExtSpoxEU Do you read these messages? Think: why does the world want to punish Russia? 15,000 war crime investigat|russia osce eu commission read message think world want punish russia 15000 war crime investigation ukraine deporting 200000 ukrainian prison camp russia sanction ing новости russia ukraine news|0|0|Neutral|Fact|spam
15475|1.55266E+18|28-07-2022|10.11.08|According to the #Mykolaiv region administration approximately 180 russian missiles struck the strategic port city and its suburbs during my 2 weeks stay in June and July 2022 #Ukraine #war #russia #RussianWarCrimes  photos @PierreCrom @GettyImages  https://t.co/TMcctPD02y|according mykolaiv region administration approximately 180 russian missile struck strategic port city suburb 2 week stay june july 2022 ukraine war russia russianwarcrimes photo|0.3|-0.2|Negative|Opinion|spam
15478|1.55266E+18|28-07-2022|10.10.34|@Cem_Ars He didn't join the war. The war was there since 2014. Or are you suggesting he should cede the east of Ukraine to Russia or to any other separatist group in order for you and me have peace and cheap products again? And he's not alone. Definitely |ar didnt join war war since 2014 suggesting cede east ukraine russia separatist group order peace cheap product he alone definitely|0.6|0.2|Positive|Opinion|spam
15489|1.55266E+18|28-07-2022|10.07.58|Russia-Ukraine War: Russian dead and wounded exceed 75,000 #news  https://t.co/Eq3dGX6SdQ|russiaukraine war russian dead wounded exceed 75000 news|0.2|-0.1|Negative|Opinion|spam
15506|1.55266E+18|28-07-2022|10.05.30|@TerrestrialExt2 @TomRoweDotArt @KyivIndependent @855_972 Russia will lose this war. Both U.S. political parties are in favor of sending ATACMS with a range of 180 miles; to Ukraine. Ukraine can destroy the Kerch Strait bridge and cut off the military sup|972 russia lose war u political party favor sending atacms range 180 mile ukraine ukraine destroy kerch strait bridge cut military supply ing across bridge soon russia lose war faster|0.066666667|-0.1|Negative|Opinion|spam
15511|1.55266E+18|28-07-2022|10.03.50|Russia-Ukraine War: Russian dead and wounded exceed 75,000 - US  https://t.co/mz7AjSgYOv. Putin is desperately searching to end the war &amp; save face (and his life) at home. Will he dangle Brit Griner release in exchange for US forcing Ukraine to accept Russian annex of Donbas?|russiaukraine war russian dead wounded exceed 75000 u putin desperately searching end war amp save face life home dangle brit griner release exchange u forcing ukraine accept russian annex donbas|0.35|-0.2|Negative|Opinion|spam
15512|1.55266E+18|28-07-2022|10.03.04|July 28, 2022: Manchin, Schumer, Biden-Xi call, Ukraine-Russia war, Brittney Griner, George Floyd  https://t.co/Q9Zsw1GkRu|july 28 2022 manchin schumer bidenxi call ukrainerussia war brittney griner george floyd|0|0|Neutral|Fact|spam
15533|1.55265E+18|28-07-2022|9.58.27|AN OPEN LETTER ABOUT RUSSIA TO MY CONNECTIONS AND FOLLOWERS  Let me be very clear right now that I support Ukraine in their war of survival against the genocidal Russian aggression with 100% of my heart and soul. I have made that sentiment very clear in… https://t.co/KfjuHsMjQO|open letter russia connection follower let clear right support ukraine war survival genocidal russian aggression 100 heart soul made sentiment clear |0.36047619|0.097142857|Positive|Opinion|spam
15568|1.55265E+18|28-07-2022|9.51.15|@jacobin @TheSpartacub @AOC @nycDSA AOC voted to give $40 Billion in weapons to neo-Nazis in Ukraine to fuel a proxy war against Russia. If DSA is supporting AOC, then you are upholding fascism and imperialism.|aoc voted give 40 billion weapon neonazis ukraine fuel proxy war russia dsa supporting aoc upholding fascism imperialism|0.25|0.25|Positive|Opinion|spam
15580|1.55265E+18|28-07-2022|9.49.05|July 28, 2022: Manchin, Schumer, Biden-Xi call, Ukraine-Russia war, Brittney Griner, George Floyd  https://t.co/okvAIXEzG8 #AndyVermautLovesReutersPressAgency|july 28 2022 manchin schumer bidenxi call ukrainerussia war brittney griner george floyd andyvermautlovesreuterspressagency|0|0|Neutral|Fact|spam
15581|1.55265E+18|28-07-2022|9.49.03|July 28, 2022: Manchin, Schumer, Biden-Xi call, Ukraine-Russia war, Brittney Griner, George Floyd  https://t.co/Wi4rjV4CTn #reuters|july 28 2022 manchin schumer bidenxi call ukrainerussia war brittney griner george floyd reuters|0|0|Neutral|Fact|spam
15585|1.55265E+18|28-07-2022|9.48.18|#Russia-#Ukraine war: #Israel sends 25,000 food rations to #Kharkiv See more:  https://t.co/3zw1P650EY #UkraineWar #UkraineInvasion #Putin #Zelensky|russiaukraine war israel sends 25000 food ration kharkiv see ukrainewar ukraineinvasion putin zelensky|0|0|Neutral|Fact|spam
15602|1.55265E+18|28-07-2022|9.45.03|Andy Vermaut shares:Russia-Ukraine War: Russian dead and wounded exceed 75,000: submitted by  /u/yuri_2022    [link] [comments]  https://t.co/Yz1fQCdaaC Thank you!  https://t.co/SJY3BfjbES|andy vermaut sharesrussiaukraine war russian dead wounded exceed 75000 submitted uyuri2022 link ments thank|0.2|-0.1|Negative|Opinion|spam
15617|1.55265E+18|28-07-2022|9.41.38|July 28, 2022: Manchin, Schumer, Biden-Xi call, Ukraine-Russia war, Brit...  https://t.co/QOATqwOLA2 #BrittneyGriner|july 28 2022 manchin schumer bidenxi call ukrainerussia war brit brittneygriner|0|0|Neutral|Fact|spam
